_id,date,name
ObjectId(5e94136b4040df581af57fe0),2020-04-13T07:23:23.888Z,Students
ObjectId(5e94137b4040df581af57fe2),2020-04-13T07:23:39.451Z,Migrant Workers
ObjectId(5e9413944040df581af57fe4),2020-04-13T07:24:04.946Z,Students
ObjectId(5e9413944040df581af57fe5),2020-04-13T07:24:04.966Z,Students
ObjectId(5e9413944040df581af57fe6),2020-04-13T07:24:04.994Z,Students
ObjectId(5e9413954040df581af57fe7),2020-04-13T07:24:05.013Z,Students
ObjectId(5e9413954040df581af57fe8),2020-04-13T07:24:05.023Z,Students
ObjectId(5e9413954040df581af57fe9),2020-04-13T07:24:05.024Z,Students
ObjectId(5e9413954040df581af57fea),2020-04-13T07:24:05.258Z,Obtaining Essentials
ObjectId(5e9413954040df581af57feb),2020-04-13T07:24:05.258Z,Obtaining Essentials
ObjectId(5e9413954040df581af57fec),2020-04-13T07:24:05.278Z,Obtaining Essentials
ObjectId(5e9413954040df581af57fed),2020-04-13T07:24:05.395Z,Obtaining Essentials
ObjectId(5e9413954040df581af57fee),2020-04-13T07:24:05.408Z,Obtaining Essentials
ObjectId(5e9413954040df581af57fef),2020-04-13T07:24:05.413Z,Obtaining Essentials
ObjectId(5e9413954040df581af57ff0),2020-04-13T07:24:05.711Z,Low-income Households
ObjectId(5e9413954040df581af57ff1),2020-04-13T07:24:05.712Z,Low-income Households
ObjectId(5e9413954040df581af57ff2),2020-04-13T07:24:05.735Z,Low-income Households
ObjectId(5e9413954040df581af57ff3),2020-04-13T07:24:05.746Z,Low-income Households
ObjectId(5e9413974040df581af57ff4),2020-04-13T07:24:07.754Z,Low-income Households
ObjectId(5e9413b14040df581af57ff5),2020-04-13T07:24:33.982Z,Low-income Households
ObjectId(5e9413f44040df581af57ff6),2020-04-13T07:25:40.046Z,Migrant Workers
ObjectId(5e9413fc4040df581af57ff7),2020-04-13T07:25:48.823Z,Low-income Households
ObjectId(5e94140d4040df581af57ff8),2020-04-13T07:26:05.450Z,Students
ObjectId(5e94140d4040df581af57ff9),2020-04-13T07:26:05.454Z,Students
ObjectId(5e94140d4040df581af57ffa),2020-04-13T07:26:05.488Z,Students
ObjectId(5e94140d4040df581af57ffb),2020-04-13T07:26:05.544Z,Students
ObjectId(5e94140d4040df581af57ffc),2020-04-13T07:26:05.560Z,Students
ObjectId(5e94140d4040df581af57ffd),2020-04-13T07:26:05.561Z,Students
ObjectId(5e94140d4040df581af57ffe),2020-04-13T07:26:05.750Z,Obtaining Essentials
ObjectId(5e94140d4040df581af57fff),2020-04-13T07:26:05.751Z,Obtaining Essentials
ObjectId(5e94140d4040df581af58000),2020-04-13T07:26:05.850Z,Obtaining Essentials
ObjectId(5e94140d4040df581af58001),2020-04-13T07:26:05.884Z,Obtaining Essentials
ObjectId(5e94140d4040df581af58002),2020-04-13T07:26:05.888Z,Obtaining Essentials
ObjectId(5e94140d4040df581af58003),2020-04-13T07:26:05.905Z,Obtaining Essentials
ObjectId(5e9414184040df581af58004),2020-04-13T07:26:16.064Z,Low-income Households
ObjectId(5e9414184040df581af58005),2020-04-13T07:26:16.080Z,Low-income Households
ObjectId(5e9414184040df581af58006),2020-04-13T07:26:16.089Z,Low-income Households
ObjectId(5e9414184040df581af58007),2020-04-13T07:26:16.090Z,Low-income Households
ObjectId(5e9414184040df581af58008),2020-04-13T07:26:16.091Z,Low-income Households
ObjectId(5e9414184040df581af58009),2020-04-13T07:26:16.116Z,Low-income Households
ObjectId(5e9414754040df581af5800a),2020-04-13T07:27:49.310Z,Low-income Households
ObjectId(5e9414854040df581af5800b),2020-04-13T07:28:05.947Z,Students
ObjectId(5e9414854040df581af5800c),2020-04-13T07:28:05.963Z,Students
ObjectId(5e9414864040df581af5800d),2020-04-13T07:28:06.009Z,Students
ObjectId(5e9414864040df581af5800e),2020-04-13T07:28:06.048Z,Students
ObjectId(5e9414864040df581af5800f),2020-04-13T07:28:06.090Z,Students
ObjectId(5e9414864040df581af58010),2020-04-13T07:28:06.105Z,Students
ObjectId(5e9414864040df581af58011),2020-04-13T07:28:06.242Z,Obtaining Essentials
ObjectId(5e9414864040df581af58012),2020-04-13T07:28:06.243Z,Obtaining Essentials
ObjectId(5e9414864040df581af58013),2020-04-13T07:28:06.335Z,Obtaining Essentials
ObjectId(5e9414864040df581af58014),2020-04-13T07:28:06.366Z,Obtaining Essentials
ObjectId(5e9414864040df581af58015),2020-04-13T07:28:06.367Z,Obtaining Essentials
ObjectId(5e9414864040df581af58016),2020-04-13T07:28:06.385Z,Obtaining Essentials
ObjectId(5e9414904040df581af58017),2020-04-13T07:28:16.571Z,Low-income Households
ObjectId(5e9414904040df581af58018),2020-04-13T07:28:16.585Z,Low-income Households
ObjectId(5e9414904040df581af58019),2020-04-13T07:28:16.586Z,Low-income Households
ObjectId(5e9414904040df581af5801a),2020-04-13T07:28:16.596Z,Low-income Households
ObjectId(5e9414904040df581af5801b),2020-04-13T07:28:16.599Z,Low-income Households
ObjectId(5e9414904040df581af5801c),2020-04-13T07:28:16.621Z,Low-income Households
ObjectId(5e9414dd4040df581af5801d),2020-04-13T07:29:33.395Z,Low-income Households
ObjectId(5e9414dd4040df581af5801e),2020-04-13T07:29:33.406Z,Low-income Households
ObjectId(5e9414dd4040df581af5801f),2020-04-13T07:29:33.406Z,Low-income Households
ObjectId(5e9414dd4040df581af58020),2020-04-13T07:29:33.407Z,Low-income Households
ObjectId(5e9414dd4040df581af58021),2020-04-13T07:29:33.419Z,Low-income Households
ObjectId(5e9414dd4040df581af58022),2020-04-13T07:29:33.436Z,Low-income Households
ObjectId(5e9414e84040df581af58024),2020-04-13T07:29:44.960Z,Students
ObjectId(5e9414fe4040df581af58025),2020-04-13T07:30:06.495Z,Students
ObjectId(5e9414fe4040df581af58026),2020-04-13T07:30:06.522Z,Students
ObjectId(5e9414fe4040df581af58027),2020-04-13T07:30:06.537Z,Students
ObjectId(5e9414fe4040df581af58028),2020-04-13T07:30:06.564Z,Students
ObjectId(5e9414fe4040df581af58029),2020-04-13T07:30:06.590Z,Students
ObjectId(5e9414fe4040df581af5802a),2020-04-13T07:30:06.607Z,Students
ObjectId(5e9414fe4040df581af5802b),2020-04-13T07:30:06.743Z,Obtaining Essentials
ObjectId(5e9414fe4040df581af5802c),2020-04-13T07:30:06.744Z,Obtaining Essentials
ObjectId(5e9414fe4040df581af5802d),2020-04-13T07:30:06.825Z,Obtaining Essentials
ObjectId(5e9414fe4040df581af5802e),2020-04-13T07:30:06.839Z,Obtaining Essentials
ObjectId(5e9414fe4040df581af5802f),2020-04-13T07:30:06.843Z,Obtaining Essentials
ObjectId(5e9414fe4040df581af58030),2020-04-13T07:30:06.864Z,Obtaining Essentials
ObjectId(5e94150e4040df581af58033),2020-04-13T07:30:22.067Z,Low-income Households
ObjectId(5e94151f4040df581af58035),2020-04-13T07:30:39.309Z,Students
ObjectId(5e9415764040df581af5803b),2020-04-13T07:32:06.994Z,Students
ObjectId(5e9415774040df581af5803c),2020-04-13T07:32:07.019Z,Students
ObjectId(5e9415774040df581af5803d),2020-04-13T07:32:07.040Z,Students
ObjectId(5e9415774040df581af5803e),2020-04-13T07:32:07.088Z,Students
ObjectId(5e9415774040df581af5803f),2020-04-13T07:32:07.122Z,Students
ObjectId(5e9415774040df581af58040),2020-04-13T07:32:07.139Z,Students
ObjectId(5e9415774040df581af58041),2020-04-13T07:32:07.265Z,Obtaining Essentials
ObjectId(5e9415774040df581af58042),2020-04-13T07:32:07.266Z,Obtaining Essentials
ObjectId(5e9415774040df581af58043),2020-04-13T07:32:07.305Z,Obtaining Essentials
ObjectId(5e9415774040df581af58044),2020-04-13T07:32:07.494Z,Obtaining Essentials
ObjectId(5e9415774040df581af58045),2020-04-13T07:32:07.498Z,Obtaining Essentials
ObjectId(5e9415774040df581af58046),2020-04-13T07:32:07.502Z,Obtaining Essentials
ObjectId(5e9415864040df581af58048),2020-04-13T07:32:22.550Z,Low-income Households
ObjectId(5e9415974040df581af58049),2020-04-13T07:32:39.870Z,Students
ObjectId(5e9415ef4040df581af5804c),2020-04-13T07:34:07.522Z,Students
ObjectId(5e9415ef4040df581af5804d),2020-04-13T07:34:07.563Z,Students
ObjectId(5e9415ef4040df581af5804e),2020-04-13T07:34:07.565Z,Students
ObjectId(5e9415ef4040df581af5804f),2020-04-13T07:34:07.616Z,Students
ObjectId(5e9415ef4040df581af58050),2020-04-13T07:34:07.648Z,Students
ObjectId(5e9415ef4040df581af58051),2020-04-13T07:34:07.658Z,Students
ObjectId(5e9415ef4040df581af58052),2020-04-13T07:34:07.757Z,Obtaining Essentials
ObjectId(5e9415ef4040df581af58053),2020-04-13T07:34:07.760Z,Obtaining Essentials
ObjectId(5e9415ef4040df581af58054),2020-04-13T07:34:07.783Z,Obtaining Essentials
ObjectId(5e9415ef4040df581af58055),2020-04-13T07:34:07.967Z,Obtaining Essentials
ObjectId(5e9415ef4040df581af58056),2020-04-13T07:34:07.996Z,Obtaining Essentials
ObjectId(5e9415ef4040df581af58057),2020-04-13T07:34:07.997Z,Obtaining Essentials
ObjectId(5e9416684040df581af5805a),2020-04-13T07:36:08.086Z,Students
ObjectId(5e9416684040df581af5805b),2020-04-13T07:36:08.099Z,Students
ObjectId(5e9416684040df581af5805c),2020-04-13T07:36:08.108Z,Students
ObjectId(5e9416684040df581af5805d),2020-04-13T07:36:08.147Z,Students
ObjectId(5e9416684040df581af5805e),2020-04-13T07:36:08.157Z,Students
ObjectId(5e9416684040df581af5805f),2020-04-13T07:36:08.179Z,Students
ObjectId(5e9416684040df581af58060),2020-04-13T07:36:08.257Z,Obtaining Essentials
ObjectId(5e9416684040df581af58061),2020-04-13T07:36:08.258Z,Obtaining Essentials
ObjectId(5e9416684040df581af58062),2020-04-13T07:36:08.310Z,Obtaining Essentials
ObjectId(5e9416684040df581af58063),2020-04-13T07:36:08.448Z,Obtaining Essentials
ObjectId(5e9416684040df581af58064),2020-04-13T07:36:08.476Z,Obtaining Essentials
ObjectId(5e9416684040df581af58065),2020-04-13T07:36:08.482Z,Obtaining Essentials
ObjectId(5e94168f4040df581af58067),2020-04-13T07:36:47.938Z,Creative Industry
ObjectId(5e9416a34040df581af58068),2020-04-13T07:37:07.749Z,Students
ObjectId(5e9416de4040df581af5806b),2020-04-13T07:38:06.455Z,Join Networks
ObjectId(5e9416e04040df581af5806c),2020-04-13T07:38:08.729Z,Students
ObjectId(5e9416e04040df581af5806d),2020-04-13T07:38:08.732Z,Students
ObjectId(5e9416e04040df581af5806e),2020-04-13T07:38:08.733Z,Students
ObjectId(5e9416e04040df581af5806f),2020-04-13T07:38:08.745Z,Students
ObjectId(5e9416e04040df581af58070),2020-04-13T07:38:08.747Z,Students
ObjectId(5e9416e04040df581af58071),2020-04-13T07:38:08.747Z,Students
ObjectId(5e9416e14040df581af58072),2020-04-13T07:38:09.423Z,Obtaining Essentials
ObjectId(5e9416e14040df581af58073),2020-04-13T07:38:09.424Z,Obtaining Essentials
ObjectId(5e9416e14040df581af58074),2020-04-13T07:38:09.425Z,Obtaining Essentials
ObjectId(5e9416e14040df581af58075),2020-04-13T07:38:09.426Z,Obtaining Essentials
ObjectId(5e9416e14040df581af58076),2020-04-13T07:38:09.426Z,Obtaining Essentials
ObjectId(5e9416e14040df581af58077),2020-04-13T07:38:09.668Z,Obtaining Essentials
ObjectId(5e9416f64040df581af58079),2020-04-13T07:38:30.055Z,Government Measures
ObjectId(5e9417594040df581af5807b),2020-04-13T07:40:09.222Z,Students
